status,pattern_type,priority,project_code,sheet,column,category,reconstructed_missing,original_missing,affected_values,example_original,example_reconstructed,explanation,review_recommendation,assessment
checked; no issue,field_value,MEDIUM,GAZP5,treatments,othertreatments,treatment_value_routed_or_normalized,TRUE,FALSE,375,cover crop | cultipack,,Free-text treatment information was moved into structured SQL treatment fields or normalized.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP5,site,precipc,unclassified_field_difference,FALSE,TRUE,193,NA,355 | 389,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP5,site,tempc,unclassified_field_difference,FALSE,TRUE,193,NA,7.1 | 6.6,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,mapping_status,MEDIUM,GAZP2,trtrates,cultivar_mapping_status,missing_reverse_mapping,,,168,,not_applicable_or_no_reverse_mapping,No repository crosswalk entry reverses this SQL identifier.,Resolve the mapping rule once for the affected identifier group.,
,field_value,MEDIUM,GAZP5,treatments,treatment_amount,unclassified_field_difference,TRUE,TRUE,121,0.1 | 0 | 0.5,applied,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP5,treatments,treatment_units,unclassified_field_difference,TRUE,TRUE,121,years,treatment presence,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP5,treatments,othertreatments,treatment_value_routed_or_normalized,TRUE,TRUE,119,cover crop,,Free-text treatment information was moved into structured SQL treatment fields or normalized.,"Review the transformation rule, not every row.",
,mapping_status,MEDIUM,GAZP1,trtrates,cultivar_mapping_status,missing_reverse_mapping,,,100,,not_applicable_or_no_reverse_mapping,No repository crosswalk entry reverses this SQL identifier.,Resolve the mapping rule once for the affected identifier group.,
,field_value,MEDIUM,GAZP2,treatments,treatmentday,unclassified_field_difference,FALSE,FALSE,90,26 | 15 | 2,10 | 24 | 7,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP2,treatments,treatmentmonth,unclassified_field_difference,FALSE,FALSE,72,11,12 | 1 | 2,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,mapping_status,MEDIUM,GAZP2,trtrates,species_mapping_status,reverse_mapping_ambiguity,,,72,,ambiguous_multiple_legacy_codes,The SQL identifier has multiple possible legacy source identifiers.,Resolve the mapping rule once for the affected identifier group.,
,row_count,MEDIUM,GAZP5,treatments,,row_expansion,FALSE,FALSE,72,1078 rows,1150 rows,More reconstructed rows exist than source rows because normalized SQL details expand during reversal.,Review how normalized detail rows are recombined.,
,mapping_status,MEDIUM,GAZP3,vegresults,species_mapping_status,reverse_mapping_ambiguity,,,54,,ambiguous_multiple_legacy_codes,The SQL identifier has multiple possible legacy source identifiers.,Resolve the mapping rule once for the affected identifier group.,
,mapping_status,MEDIUM,GAZP3,vegresults,reconstruction_status,reverse_mapping_ambiguity,,,54,,partial; species code ambiguous or absent,The SQL identifier has multiple possible legacy source identifiers.,Resolve the mapping rule once for the affected identifier group.,
,field_value,MEDIUM,GAZP2,treatments,trt_year,unclassified_field_difference,TRUE,TRUE,45,2007,2008,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP2,treatments,treatmentmonth,unclassified_field_difference,TRUE,TRUE,44,11,12 | 1 | 2,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP2,treatments,trt_year,unclassified_field_difference,FALSE,FALSE,39,2007,2008,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP2,treatments,treatmentday,unclassified_field_difference,TRUE,TRUE,38,2 | 28,14 | 28 | 11,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP5,treatments,treatment_amount,unclassified_field_difference,FALSE,FALSE,27,0.5 | 0.1 | 0.3,applied,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP5,treatments,treatment_units,unclassified_field_difference,FALSE,FALSE,27,years,treatment presence,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,mapping_status,MEDIUM,GAZP3,trtrates,cultivar_mapping_status,missing_reverse_mapping,,,9,,not_applicable_or_no_reverse_mapping,No repository crosswalk entry reverses this SQL identifier.,Resolve the mapping rule once for the affected identifier group.,
,mapping_status,MEDIUM,GAZP3,trtrates,species_mapping_status,reverse_mapping_ambiguity,,,6,,ambiguous_multiple_legacy_codes,The SQL identifier has multiple possible legacy source identifiers.,Resolve the mapping rule once for the affected identifier group.,
,field_value,MEDIUM,GAZP2,site,invasivespe,unclassified_field_difference,FALSE,FALSE,4,Bromus tectorum,Bro_tec,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP2,site,precipc,unclassified_field_difference,FALSE,FALSE,4,283.7 | 254.8 | 288.8,322 | 295 | 304,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP2,site,tempc,unclassified_field_difference,FALSE,FALSE,4,7.9 | 9.25 | 7.36,6.7 | 7.6 | 5.9,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,mapping_status,MEDIUM,GAZP5,trtrates,species_mapping_status,missing_reverse_mapping,,,2,,no_reverse_mapping,No repository crosswalk entry reverses this SQL identifier.,Resolve the mapping rule once for the affected identifier group.,
,field_value,MEDIUM,GAZP1,site,precipc,unclassified_field_difference,FALSE,FALSE,1,321,289,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP1,site,tempc,unclassified_field_difference,FALSE,FALSE,1,24,24.1,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP1,study,notes,unclassified_field_difference,FALSE,TRUE,1,,original data was blocked spatial structure that is not included in SQL version,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP3,site,invasivespe,unclassified_field_difference,FALSE,FALSE,1,Bromus tectorum,Bro_tec,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP3,site,precipc,unclassified_field_difference,FALSE,FALSE,1,283,270,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP3,site,tempc,unclassified_field_difference,FALSE,FALSE,1,9.25,7.9,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,field_value,MEDIUM,GAZP5,refs,author,unclassified_field_difference,FALSE,FALSE,1,"Rinella, M., Hammond, Darcy, H., Bryant, Ana-Elisa, Kozar, Brian J.",Matt Rinella,The difference requires focused review before assigning a cause.,"Review the transformation rule, not every row.",
,mapping_status,LOW,GAZP5,trtrates,reconstruction_status,documented_partial_reconstruction,,,2957,,partial; treatment_type and trt_year not stored in seeding,The reconstruction code already identifies these rows as incomplete.,Document the known limitation; do not review every row.,
,field_value,LOW,GAZP5,site,USDA.class,expected_schema_loss,TRUE,FALSE,193,3_desert and semidesert,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,USDA.subclass,expected_schema_loss,TRUE,FALSE,193,3b_cool semidesert scrub and grassland,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,USDA.subsubclass,expected_schema_loss,TRUE,FALSE,193,3b1_cool semidesert scrub and grassland,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,aspect,expected_schema_loss,TRUE,FALSE,193,2.92328878051315 | 3.26889634463319,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,drange,expected_schema_loss,TRUE,FALSE,193,16.7 | 16.5,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,elevation,expected_schema_loss,TRUE,FALSE,193,1096 | 1165,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,iso,expected_schema_loss,TRUE,FALSE,193,3.7,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,landcover,expected_schema_loss,TRUE,FALSE,193,sc2,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,minetype,expected_schema_loss,TRUE,FALSE,193,coal,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,mtcold,expected_schema_loss,TRUE,FALSE,193,-14 | -14.1,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,mtwarm,expected_schema_loss,TRUE,FALSE,193,31 | 30.2,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,pcoldq,expected_schema_loss,TRUE,FALSE,193,41 | 51,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,pdry,expected_schema_loss,TRUE,FALSE,193,11 | 15,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,pdryq,expected_schema_loss,TRUE,FALSE,193,41 | 51,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,precip,expected_schema_loss,TRUE,FALSE,193,355 | 389,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,pseason,expected_schema_loss,TRUE,FALSE,193,55 | 49,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,pwarmq,expected_schema_loss,TRUE,FALSE,193,115 | 121,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,pwet,expected_schema_loss,TRUE,FALSE,193,64 | 66,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,pwetq,expected_schema_loss,TRUE,FALSE,193,163 | 171,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,slope,expected_schema_loss,TRUE,FALSE,193,0.0527532685901894 | 0.0601028593158654,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,tcoldq,expected_schema_loss,TRUE,FALSE,193,-5.3 | -5.5,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,tdryq,expected_schema_loss,TRUE,FALSE,193,-5.3 | -5.5,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,temp,expected_schema_loss,TRUE,FALSE,193,7.1 | 6.6,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,trange,expected_schema_loss,TRUE,FALSE,193,45 | 44.3,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,tseason,expected_schema_loss,TRUE,FALSE,193,956.6 | 933.5,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,twarmq,expected_schema_loss,TRUE,FALSE,193,19.5 | 18.7,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP5,site,twetq,expected_schema_loss,TRUE,FALSE,193,12 | 11.2,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,mapping_status,LOW,GAZP5,site,reconstruction_status,documented_partial_reconstruction,,,193,,partial; environmental fields not stored in Supabase,The reconstruction code already identifies these rows as incomplete.,Document the known limitation; do not review every row.,
,mapping_status,LOW,GAZP2,trtrates,reconstruction_status,documented_partial_reconstruction,,,168,,partial; treatment_type and trt_year not stored in seeding,The reconstruction code already identifies these rows as incomplete.,Document the known limitation; do not review every row.,
,mapping_status,LOW,GAZP1,trtrates,reconstruction_status,documented_partial_reconstruction,,,100,,partial; treatment_type and trt_year not stored in seeding,The reconstruction code already identifies these rows as incomplete.,Document the known limitation; do not review every row.,
,mapping_status,LOW,GAZP3,trtrates,reconstruction_status,documented_partial_reconstruction,,,9,,partial; treatment_type and trt_year not stored in seeding,The reconstruction code already identifies these rows as incomplete.,Document the known limitation; do not review every row.,
,field_value,LOW,GAZP2,site,USDA.class,expected_schema_loss,TRUE,FALSE,4,3_desert and semidesert,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,USDA.subclass,expected_schema_loss,TRUE,FALSE,4,3b_cool semidesert scrub and grassland,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,USDA.subsubclass,expected_schema_loss,TRUE,FALSE,4,3b1_cool semidesert scrub and grassland,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,aspect,expected_schema_loss,TRUE,FALSE,4,0.229534043889334 | 0.154470271738303 | 0.122568068499992,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,drange,expected_schema_loss,TRUE,FALSE,4,16.4 | 16.3 | 15.7,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,elevation,expected_schema_loss,TRUE,FALSE,4,1195 | 1349 | 1482,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,invasiveform,expected_schema_loss,TRUE,FALSE,4,agrass,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,iso,expected_schema_loss,TRUE,FALSE,4,4.1 | 4 | 4.2,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,landcover,expected_schema_loss,TRUE,FALSE,4,sc2,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,mtcold,expected_schema_loss,TRUE,FALSE,4,-10.6 | -9.5 | -10,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,mtwarm,expected_schema_loss,TRUE,FALSE,4,29.4 | 30.5 | 27.4,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,pcoldq,expected_schema_loss,TRUE,FALSE,4,107 | 95 | 92,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,pdry,expected_schema_loss,TRUE,FALSE,4,12 | 11 | 13,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,pdryq,expected_schema_loss,TRUE,FALSE,4,47 | 42 | 49,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,precip,expected_schema_loss,TRUE,FALSE,4,322 | 295 | 304,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,pseason,expected_schema_loss,TRUE,FALSE,4,33 | 32 | 28,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,pwarmq,expected_schema_loss,TRUE,FALSE,4,57 | 53 | 58,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,pwet,expected_schema_loss,TRUE,FALSE,4,43 | 37 | 38,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,pwetq,expected_schema_loss,TRUE,FALSE,4,119 | 105 | 107,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,slope,expected_schema_loss,TRUE,FALSE,4,1.02777737087291 | 4.28095177202056 | 4.31671529969718,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,tcoldq,expected_schema_loss,TRUE,FALSE,4,-3.6 | -2.6 | -3.3,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,tdryq,expected_schema_loss,TRUE,FALSE,4,16.5 | 17.6 | 15.2,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,temp,expected_schema_loss,TRUE,FALSE,4,6.7 | 7.6 | 5.9,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,trange,expected_schema_loss,TRUE,FALSE,4,40 | 37.4 | 36.9,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,tseason,expected_schema_loss,TRUE,FALSE,4,796.4 | 803.6 | 732.4,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,twarmq,expected_schema_loss,TRUE,FALSE,4,17.1 | 18.2 | 15.6,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,site,twetq,expected_schema_loss,TRUE,FALSE,4,-2.8 | -1.9 | -2.6,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,mapping_status,LOW,GAZP2,site,reconstruction_status,documented_partial_reconstruction,,,4,,partial; environmental fields not stored in Supabase,The reconstruction code already identifies these rows as incomplete.,Document the known limitation; do not review every row.,
,field_value,LOW,GAZP1,site,USDA.class,expected_schema_loss,TRUE,FALSE,1,3_desert and semidesert,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,USDA.subclass,expected_schema_loss,TRUE,FALSE,1,3a_warm desert and semidesert woodland scrub and grassland,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,USDA.subsubclass,expected_schema_loss,TRUE,FALSE,1,3a2_warm desert and semidesert scrub and grassland,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,aspect,expected_schema_loss,TRUE,FALSE,1,0.012338184,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,drange,expected_schema_loss,TRUE,FALSE,1,14.3,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,elevation,expected_schema_loss,TRUE,FALSE,1,552,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,iso,expected_schema_loss,TRUE,FALSE,1,4.6,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,landcover,expected_schema_loss,TRUE,FALSE,1,h,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,minetype,expected_schema_loss,TRUE,FALSE,1,iron ore,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,mtcold,expected_schema_loss,TRUE,FALSE,1,7.8,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,mtwarm,expected_schema_loss,TRUE,FALSE,1,38.5,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,pcoldq,expected_schema_loss,TRUE,FALSE,1,46,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,pdry,expected_schema_loss,TRUE,FALSE,1,5,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,pdryq,expected_schema_loss,TRUE,FALSE,1,19,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,precip,expected_schema_loss,TRUE,FALSE,1,289,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,pseason,expected_schema_loss,TRUE,FALSE,1,72,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,pwarmq,expected_schema_loss,TRUE,FALSE,1,145,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,pwet,expected_schema_loss,TRUE,FALSE,1,65,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,pwetq,expected_schema_loss,TRUE,FALSE,1,151,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,slope,expected_schema_loss,TRUE,FALSE,1,5.787276145,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,tcoldq,expected_schema_loss,TRUE,FALSE,1,15.9,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,tdryq,expected_schema_loss,TRUE,FALSE,1,25,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,temp,expected_schema_loss,TRUE,FALSE,1,24.1,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,trange,expected_schema_loss,TRUE,FALSE,1,30.7,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,tseason,expected_schema_loss,TRUE,FALSE,1,598.6,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,twarmq,expected_schema_loss,TRUE,FALSE,1,31,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP1,site,twetq,expected_schema_loss,TRUE,FALSE,1,30.4,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,mapping_status,LOW,GAZP1,site,reconstruction_status,documented_partial_reconstruction,,,1,,partial; environmental fields not stored in Supabase,The reconstruction code already identifies these rows as incomplete.,Document the known limitation; do not review every row.,
,field_value,LOW,GAZP1,study,continent,controlled_vocabulary_normalization,FALSE,FALSE,1,Australia,Oceania,The source and SQL values use different labels for the same geographic vocabulary.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP2,study,country,controlled_vocabulary_normalization,FALSE,FALSE,1,USA,United States of America,The source and SQL values use different labels for the same geographic vocabulary.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,USDA.class,expected_schema_loss,TRUE,FALSE,1,3_desert and semidesert,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,USDA.subclass,expected_schema_loss,TRUE,FALSE,1,3b_cool semidesert scrub and grassland,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,USDA.subsubclass,expected_schema_loss,TRUE,FALSE,1,3b1_cool semidesert scrub and grassland,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
,field_value,LOW,GAZP3,site,aspect,expected_schema_loss,TRUE,FALSE,1,0.178522656,,The harmonized field has no equivalent stored in the current SQL schema.,Document as expected unless the schema should retain this field.,
